;type3;type5
AA;private;private
AB;private;private
AC;private;private
AD;private;private
AE;private;private
AF;private;private
AG;private;private
AH;ngoassoc;ngo
AI;private;private
AJ;ngoassoc;ngo
AK;ngoassoc;ngo
AL;private;private
AM;ngoassoc;ngo
AN;private;private
AO;private;private
AP;public;party
AQ;public;party
AR;public;party
AS;public;party
AT;public;party
AU;public;science
AV;public;science
AW;public;science
AX;public;science
AY;public;science
AZ;public;science
BA;ngoassoc;ngo
BB;ngoassoc;ngo
BC;ngoassoc;ngo
BD;public;gov
BE;public;gov
BF;public;gov
BG;public;gov
BH;public;gov
